"","id","dam","sire"
"474","714-11223",NA,NA
"475","714-11224",NA,NA
"476","1988_wgbrw_2",NA,NA
"477","1989_6nw_1",NA,NA
"478","714-11468",NA,NA
"479","664-94923",NA,NA
"480","1989_95_3",NA,NA
"481","1989_E=93P_1",NA,NA
"482","1989_E=93P_2",NA,NA
"483","1989_G-15_1",NA,NA
"484","1989_G-15_2",NA,NA
"485","1989_G-16_1",NA,NA
"486","1989_G-16_2",NA,NA
"487","1989_H=BURN_1",NA,NA
"488","1989_H=BURN_2",NA,NA
"489","1989_H=WBOWL_1",NA,NA
"490","1989_H=WBOWL_2",NA,NA
"491","1989_ngr_1",NA,NA
"492","1989_O=9WOOD_1",NA,NA
"493","1989_P-85BX_1",NA,NA
"494","1989_S-10_1",NA,NA
"495","1989_S-10_2",NA,NA
"496","714-11432",NA,NA
"497","714-11433",NA,NA
"498","1989_U=97n2_1",NA,NA
"499","1989_U=97w_1",NA,NA
"500","1989_V=28BCH_1",NA,NA
"501","1989_V=WGBRW_1",NA,NA
"502","1989_V=WGBRW_2",NA,NA
"503","1990_10an_1",NA,NA
"504","1990_10an_2",NA,NA
"505","1990_154_1",NA,NA
"506","1990_154_2",NA,NA
"507","1990_2moos_1",NA,NA
"508","1990_97oos_1",NA,NA
"509","1990_97oos_2",NA,NA
"510","1990_97ot_1",NA,NA
"511","1990_97ot_2",NA,NA
"512","1990_BG-OT_1",NA,NA
"513","1990_BG-OT_2",NA,NA
"514","1990_C-14_1",NA,NA
"515","1990_C-14_2",NA,NA
"516","1990_H=BURNBOX_1",NA,NA
"517","1990_H=BURNBOX_2",NA,NA
"518","1990_H=FFW_1",NA,NA
"519","1990_H=FFW_2",NA,NA
"520","1990_J-10_1",NA,NA
"521","1990_J-10_2",NA,NA
"522","1990_K=132_1",NA,NA
"523","1990_K=132_2",NA,NA
"524","1990_K=6E_1",NA,NA
"525","1990_K=6E_2",NA,NA
"526","1990_K-04_1",NA,NA
"527","1990_K-04_2",NA,NA
"528","1990_K-08_1",NA,NA
"529","1990_l=35_1",NA,NA
"530","1990_l=35_2",NA,NA
"531","1990_L-11_1",NA,NA
"532","1990_L-11_2",NA,NA
"533","1990_mtb-mid_1",NA,NA
"534","1990_mtb-mid_2",NA,NA
"535","1990_near96_1",NA,NA
"536","1990_O=9SW_1",NA,NA
"537","1990_O=9SW_2",NA,NA
"538","1990_P-11_1",NA,NA
"539","1990_P-14_1",NA,NA
"540","1990_P-14_2",NA,NA
"541","1990_S=70BS_1",NA,NA
"542","1990_S=70BS_2",NA,NA
"543","1990_S=70BW_1",NA,NA
"544","1990_S-08_1",NA,NA
"545","1990_S-08_2",NA,NA
"546","1990_U=97n1_3",NA,NA
"547","1990_U=97n1_1",NA,NA
"548","1990_U=97n1_2",NA,NA
"549","1990_U=97n2_1",NA,NA
"550","1990_U=97n2_2",NA,NA
"551","1990_unk1_1",NA,NA
"552","1990_unk1_2",NA,NA
"553","1990_V=SBLB2_1",NA,NA
"554","1990_V=SBLB2_2",NA,NA
"555","1990_WGBE_1",NA,NA
"556","1990_WGBE_2",NA,NA
"557","1990_WGBW_1",NA,NA
"558","1990_WGBW_2",NA,NA
"559","1990_WGOS_1",NA,NA
"560","1990_WGOS_2",NA,NA
"561","1991_8bc_1",NA,NA
"562","1991_8bc_2",NA,NA
"563","1991_97oos_1",NA,NA
"564","1991_97oos_2",NA,NA
"565","1991_97ot_1",NA,NA
"566","1991_97sm_1",NA,NA
"567","1991_97sm_2",NA,NA
"568","1991_H=BURNBOX_1",NA,NA
"569","1991_H=BURNBOX_2",NA,NA
"570","714-17270",NA,NA
"571","714-17269",NA,NA
"572","1991_H=WEBR_1",NA,NA
"573","1991_H=WEBR_2",NA,NA
"574","1991_H=WTANK_A",NA,NA
"575","1991_H=WTANK_B",NA,NA
"576","1991_K=6E_1",NA,NA
"577","1991_K=6E_2",NA,NA
"578","1991_K=7CN_1",NA,NA
"579","1991_K=7CN_2",NA,NA
"580","1991_M-08_1",NA,NA
"581","1991_mblb_1",NA,NA
"582","1991_mblb_2",NA,NA
"583","1991_Q=03_1",NA,NA
"584","1991_Q=03_2",NA,NA
"585","1991_S=70BS_1",NA,NA
"586","1991_S=70BW_1",NA,NA
"587","1991_S=70BW_2",NA,NA
"588","1991_T=NWCNE_1",NA,NA
"589","1991_U=97A_1",NA,NA
"590","1991_U=97A_2",NA,NA
"591","1991_U=97E_1",NA,NA
"592","1991_U=97E_2",NA,NA
"593","1991_V=28_1",NA,NA
"594","1991_V=28_2",NA,NA
"595","1991_V=37PR_1",NA,NA
"596","1991_V=37PR_2",NA,NA
"597","1991_V=SBLB_1",NA,NA
"598","1991_V=SBLB_2",NA,NA
"599","1991_wgbe_1",NA,NA
"600","1991_wgbe_2",NA,NA
"601","1991_wgbw_1",NA,NA
"602","1991_wgbw_2",NA,NA
"603","1992_115n_1",NA,NA
"604","1992_97ci_1",NA,NA
"605","1992_97ci_2",NA,NA
"606","1992_K=115N_1",NA,NA
"607","1992_K=115N_2",NA,NA
"608","1992_K=7CN_1",NA,NA
"609","1992_P-12_1",NA,NA
"610","1992_P-12_2",NA,NA
"611","1992_Q=17M_1",NA,NA
"612","1992_Q=17M_2",NA,NA
"613","1992_S=70BN_1",NA,NA
"614","1992_S=70BN_2",NA,NA
"615","1992_U=97N_1",NA,NA
"616","1992_U=97N_2",NA,NA
"617","1992_V=SBLB_1",NA,NA
"618","1992_V=SBLB_2",NA,NA
"619","1992_V=WGBR1_1",NA,NA
"620","1992_V=YOGI_1",NA,NA
"621","1992_WGBR_1",NA,NA
"622","1992_wgbw_2",NA,NA
"623","1993_97md_1",NA,NA
"624","1993_97md_2",NA,NA
"625","1993_M-16_1",NA,NA
"626","1993_MTBR_1",NA,NA
"627","1993_MTBR_2",NA,NA
"628","1993_P=CAMP_1",NA,NA
"629","1993_Q-03_2",NA,NA
"630","1993_U=97_1",NA,NA
"631","1993_U=97_2",NA,NA
"632","1993_V=WGBRE_1",NA,NA
"633","1993_V=WGBRE_2",NA,NA
"634","1993_WGBW_1",NA,NA
"635","1994_U=97E_1",NA,NA
"636","1995_C-13_1",NA,NA
"637","1995_E-13_1",NA,NA
"638","1995_G-15_1",NA,NA
"639","1995_G-16_A",NA,NA
"640","754-10055",NA,NA
"641","1995_K=132_1",NA,NA
"642","1995_P=85BX_1",NA,NA
"643","1995_P=85BX_2",NA,NA
"644","1996_C-04_1",NA,NA
"645","1996_C-13_1",NA,NA
"646","1996_C-13_B",NA,NA
"647","1996_G-06_1",NA,NA
"648","1996_G-06_2",NA,NA
"649","764-55052",NA,NA
"650","764-55053",NA,NA
"651","1996_K-01_A",NA,NA
"652","1996_K-01_2",NA,NA
"653","1996_L-05_1",NA,NA
"654","1996_L-05_2",NA,NA
"655","1996_MTB2_1",NA,NA
"656","1996_MTBR_1",NA,NA
"657","1996_MTBR_2",NA,NA
"658","1996_R-01_1",NA,NA
"659","1996_U=97E_1",NA,NA
"660","1996_U=97E_2",NA,NA
"661","1996_U-07_2",NA,NA
"662","1996_V=NBLB_2",NA,NA
"663","1996_V=SBLB_1",NA,NA
"664","1996_V=SBLB_2",NA,NA
"665","1996_WGBR_2",NA,NA
"666","1997_C-13_1",NA,NA
"667","1997_H=FW_1",NA,NA
"668","1997_H=FW_2",NA,NA
"669","1997_K-01_1",NA,NA
"670","1997_K-01_2",NA,NA
"671","1997_K-02_1",NA,NA
"672","1997_K-02_2",NA,NA
"673","1997_MTBR_1",NA,NA
"674","1997_T-03_1",NA,NA
"675","1997_U-07_1",NA,NA
"676","1997_V=SBLB_3",NA,NA
"677","1997_V=WGBR1_1",NA,NA
"678","1997_V=WGBR1_2",NA,NA
"679","1999_C-13_2",NA,NA
"680","1999_E=147_1",NA,NA
"681","1999_E=147_2",NA,NA
"682","1999_E-01_1",NA,NA
"683","1999_E-01_2",NA,NA
"684","1999_K-10_1",NA,NA
"685","1999_K-10_2",NA,NA
"686","1999_Q-12_1",NA,NA
"687","1999_Q-12_2",NA,NA
"688","1999_S-05_1",NA,NA
"689","1999_S-05_2",NA,NA
"690","1999_T-03_1",NA,NA
"691","1999_T-05_1",NA,NA
"692","1999_T-05_2",NA,NA
"693","1999_U-02_1",NA,NA
"694","1999_U-08_1",NA,NA
"695","2000_G-06_1",NA,NA
"696","2000_G-06_2",NA,NA
"697","2000_H=FW_1",NA,NA
"698","2000_M-08_1",NA,NA
"699","2000_U-03_1",NA,NA
"700","2001_144x_2",NA,NA
"701","2001_A-01_1",NA,NA
"702","2001_A-01_2",NA,NA
"703","2001_unk1_1",NA,NA
"704","2001_unk1_2",NA,NA
"705","2002_C-07_1",NA,NA
"706","2002_C-10_1",NA,NA
"707","2002_D-03_1",NA,NA
"708","2002_lockjaw_1",NA,NA
"709","2002_lockjaw_2",NA,NA
"710","2002_P-11_1",NA,NA
"711","2002_Q-12_1",NA,NA
"712","754-10388",NA,NA
"713","754-10389",NA,NA
"714","2003_A-03_1",NA,NA
"715","2003_A-03_2",NA,NA
"716","2003_B-02_1",NA,NA
"717","2003_B-02_2",NA,NA
"718","2003_C-10_1",NA,NA
"719","2003_C-10_2",NA,NA
"720","2003_C-14_1",NA,NA
"721","2003_C-14_2",NA,NA
"722","2003_D-06_1",NA,NA
"723","2003_D-06_2",NA,NA
"724","2003_E-02_1",NA,NA
"725","2003_E-02_2",NA,NA
"726","2003_K-01_1",NA,NA
"727","2003_K-01_2",NA,NA
"728","2003_M-02_1",NA,NA
"729","2003_M-02_2",NA,NA
"730","2003_N-01_1",NA,NA
"731","2003_N-01_2",NA,NA
"732","2003_N-09_1",NA,NA
"733","2003_Q-13_1",NA,NA
"734","2003_S-01_1",NA,NA
"735","2003_U-08_1",NA,NA
"736","2004_B=07_1",NA,NA
"737","2004_Camp East_1",NA,NA
"738","2004_D-06_1",NA,NA
"739","2004_D-06_2",NA,NA
"740","2004_E=15_1",NA,NA
"741","2004_E-06_1",NA,NA
"742","2004_E-06_2",NA,NA
"743","2004_E-09_2",NA,NA
"744","844-74847",NA,NA
"745","2004_E-13_2",NA,NA
"746","2004_G-01_1",NA,NA
"747","2004_I-10_1",NA,NA
"748","2004_I-10_2",NA,NA
"749","2004_J-04_2",NA,NA
"750","2004_J-06_1",NA,NA
"751","2004_J-06_2",NA,NA
"752","2004_M-02_1",NA,NA
"753","2004_M-02_2",NA,NA
"754","2004_M-16_1",NA,NA
"755","2004_M-16_2",NA,NA
"756","2004_Q-13_2",NA,NA
"757","2004_S-01_1",NA,NA
"758","2004_S-01_2",NA,NA
"759","2004_S-06_1",NA,NA
"760","2004_S-07_1",NA,NA
"761","2004_S-07_2",NA,NA
